tract_id,tract_name,total_pop,median_income,median_home_value,median_gross_rent,occupied_units,owner_units,renter_units,hispanic_pop,white_pop,black_pop,poverty_universe,below_poverty,poverty_rate,year,centroid_distance_miles,beltline_half_mile,beltline_one_mile,beltline_three_miles,pct_white,pct_black,pct_hispanic,pct_renter
13121002600,"Census Tract 26, Fulton County, Georgia",1378.0,21538.0,78600.0,615.0,582,71,511,17.0,37.0,1312.0,1242.0,409.0,0.3293075684380032,2000,1.1920734170460536,0.0,0.0,1.0,0.026850507982583455,0.9521044992743106,0.012336719883889695,0.8780068728522337
13121002900,"Census Tract 29, Fulton County, Georgia",1333.0,26346.0,96300.0,511.0,546,113,433,79.0,252.0,959.0,1143.0,354.0,0.3097112860892388,2000,0.2572994342064129,1.0,1.0,1.0,0.18904726181545387,0.719429857464366,0.05926481620405101,0.793040293040293
13121003000,"Census Tract 30, Fulton County, Georgia",1968.0,60323.0,257700.0,761.0,1049,547,502,44.0,1628.0,208.0,1957.0,115.0,0.0587634133878385,2000,0.28793765302610563,1.0,1.0,1.0,0.8272357723577236,0.10569105691056911,0.022357723577235773,0.47855100095328884
13121003100,"Census Tract 31, Fulton County, Georgia",1626.0,28214.0,81700.0,549.0,646,273,373,62.0,181.0,1331.0,1607.0,322.0,0.2003733665214686,2000,0.24268529449598178,1.0,1.0,1.0,0.11131611316113162,0.8185731857318573,0.038130381303813035,0.5773993808049536
13121003200,"Census Tract 32, Fulton County, Georgia",1498.0,32153.0,129000.0,734.0,805,257,548,53.0,911.0,494.0,1465.0,298.0,0.2034129692832764,2000,0.17727643486694375,1.0,1.0,1.0,0.6081441922563418,0.32977303070761016,0.035380507343124167,0.6807453416149069
13121003500,"Census Tract 35, Fulton County, Georgia",3710.0,42906.0,0.0,913.0,655,176,479,195.0,614.0,2799.0,1983.0,973.0,0.4906707009581442,2000,1.5266920932580164,0.0,0.0,1.0,0.1654986522911051,0.7544474393530998,0.05256064690026954,0.7312977099236642
13121003600,"Census Tract 36, Fulton County, Georgia",1502.0,17375.0,47500.0,411.0,507,35,472,28.0,81.0,1357.0,954.0,353.0,0.370020964360587,2000,1.275260391496842,0.0,0.0,1.0,0.05392809587217044,0.903462050599201,0.018641810918774968,0.9309664694280079
13121003700,"Census Tract 37, Fulton County, Georgia",1432.0,4705.0,0.0,168.0,525,5,520,4.0,9.0,1411.0,1376.0,1041.0,0.7565406976744186,2000,0.9612955410064035,0.0,1.0,1.0,0.006284916201117319,0.9853351955307262,0.002793296089385475,0.9904761904761905
13121003800,"Census Tract 38, Fulton County, Georgia",2273.0,8417.0,70600.0,390.0,675,85,590,36.0,5.0,2192.0,1329.0,907.0,0.6824680210684725,2000,0.8272789060754964,0.0,1.0,1.0,0.002199736031676199,0.9643642762868456,0.01583809942806863,0.8740740740740741
13121003900,"Census Tract 39, Fulton County, Georgia",2426.0,18669.0,59500.0,423.0,949,275,674,5.0,8.0,2380.0,2477.0,1026.0,0.4142107387969317,2000,0.2712108507288066,1.0,1.0,1.0,0.0032976092333058533,0.9810387469084914,0.002061005770816158,0.7102212855637513
13121004000,"Census Tract 40, Fulton County, Georgia",3166.0,28621.0,79100.0,611.0,1074,702,372,33.0,15.0,3081.0,2680.0,591.0,0.2205223880597014,2000,0.38692884241987924,1.0,1.0,1.0,0.004737839545167404,0.9731522425773848,0.010423246999368288,0.3463687150837989
13121004100,"Census Tract 41, Fulton County, Georgia",2565.0,21741.0,80500.0,565.0,936,313,623,37.0,46.0,2389.0,2548.0,889.0,0.3489010989010989,2000,0.2992562924531274,1.0,1.0,1.0,0.01793372319688109,0.9313840155945419,0.01442495126705653,0.6655982905982906
13121004200,"Census Tract 42, Fulton County, Georgia",2493.0,13880.0,74600.0,287.0,1177,182,995,41.0,45.0,2358.0,2524.0,1228.0,0.4865293185419968,2000,0.5535241391973279,0.0,1.0,1.0,0.018050541516245487,0.9458483754512635,0.016446048937023665,0.8453695836873407
13121004300,"Census Tract 43, Fulton County, Georgia",2770.0,12443.0,22500.0,345.0,116,25,91,36.0,95.0,2605.0,284.0,137.0,0.4823943661971831,2000,1.0860063495286945,0.0,0.0,1.0,0.03429602888086643,0.9404332129963899,0.012996389891696752,0.7844827586206896
